species,lat,lon
Trimetopon simile,10.503133,-84.689033
Eleutherodactylus rhodesi,10.931283,-85.461883
Agalychnis lemur,9.999717,-83.14695
Cephalopterus glabricollis,10.431166,-84.00353
Amazilia boucardi,9.790941,-85.27673
Cephalopterus glabricollis,10.455276,-84.001785
Amazilia boucardi,8.52111,-83.39991
Amazilia boucardi,8.689055,-83.47608
Cephalopterus glabricollis,10.363766,-84.79035
Amazilia boucardi,8.575293,-83.35963
Cephalopterus glabricollis,10.431166,-84.00353
Amazilia boucardi,9.80838,-84.60357
Amazilia boucardi,9.390953,-84.147194
Amazilia boucardi,9.778981,-84.58808
Amazilia boucardi,9.808,-84.611
Cephalopterus glabricollis,10.160833,-83.96187
Amazilia boucardi,9.779773,-84.62634
Cephalopterus glabricollis,10.363766,-84.79035
Cephalopterus glabricollis,10.558022,-84.03168
Amazilia boucardi,10.14134,-85.04276
Amazilia boucardi,9.705694,-84.6512
Amazilia boucardi,9.77504,-85.26331
Amazilia boucardi,9.797225,-84.63768
Amazilia boucardi,8.689055,-83.47608
Amazilia boucardi,8.52111,-83.39991
Amazilia boucardi,10.365737,-85.32659
Amazilia boucardi,8.689055,-83.47608
Cephalopterus glabricollis,10.422961,-84.64891
Cephalopterus glabricollis,10.296329,-84.75409
Cephalopterus glabricollis,10.431166,-84.00353
Amazilia boucardi,10.14134,-85.04276
Amazilia boucardi,9.754908,-84.625626
Amazilia boucardi,9.482311,-84.27518
Cephalopterus glabricollis,10.146832,-83.94739
Cephalopterus glabricollis,10.30702,-84.80974
Amazilia boucardi,8.800619,-83.613686
Cephalopterus glabricollis,10.727943,-85.048065
Cephalopterus glabricollis,10.36199,-84.76879
Cephalopterus glabricollis,10.431166,-84.00353
Cephalopterus glabricollis,10.431166,-84.00353
Amazilia boucardi,9.782181,-84.636185
Amazilia boucardi,9.390953,-84.147194
Amazilia boucardi,9.431889,-84.165596
Amazilia boucardi,8.800619,-83.613686
Cephalopterus glabricollis,10.28173,-84.04489
Cephalopterus glabricollis,10.38303,-84.61774
Amazilia boucardi,9.779773,-84.62634
Cephalopterus glabricollis,10.38303,-84.61774
Amazilia boucardi,9.787128,-84.925964
Cephalopterus glabricollis,10.38303,-84.61774
Amazilia boucardi,8.689055,-83.47608
Amazilia boucardi,8.575293,-83.35963
