"siteid","spid","x","y","occ","group","bc01","bc04","bc05","bc06","bc12","bc15","bc17","bc20","bc31","bc33","slope","topo","tri"
100001,"pseudo1",423335.8252,7888327.848,0,NA,21.6,1.08,30.2,11.6,1274,105,56,19.5,55,0.16,40.7042,29,540.2805
100002,"pseudo1",484215.8252,7842887.848,0,NA,23.7,1.06,31.7,12.9,940,107,41,19.8,76,0.09,0.5810088,3,21.67948
100003,"pseudo1",349095.8252,8043367.848,0,NA,18.8,1.02,27.8,9.400001,2177,74,170,18.5,18,0.65,19.65936,26,776.7915
100004,"pseudo1",403655.8252,7886247.848,0,NA,20.5,1.13,29.8,10.3,1194,102,58,19.5,52,0.18,0,0,138.1593
100005,"pseudo1",366695.8252,7970887.848,0,NA,21.2,1.05,30.1,11.1,1341,93,87,19.4,44,0.27,9.759311,22,622.6781
100006,"pseudo1",474055.8252,7860327.848,0,NA,22.9,1.04,30.7,12.9,1059,109,45,19.7,69,0.11,12.90087,0,771.0856
100007,"pseudo1",436615.8252,7865447.848,0,NA,20.7,1.12,29.7,10.6,1288,104,58,19.4,52,0.18,31.39013,100,887.577
100008,"pseudo1",362455.8252,8050007.848,0,NA,20.5,0.98,29.1,11.1,2932,69,257,18,11,0.78,28.42186,47,436.3657
100009,"pseudo1",406855.8252,7940567.848,0,NA,24,0.9899999,31.8,13.9,1912,99,97,18.9,46,0.25,0.09005382,50,3.464102
100010,"pseudo1",419015.8252,7892727.848,0,NA,20.5,1.1,29.4,10.7,1551,102,78,19.2,43,0.26,74.80319,34,1744.512
100011,"pseudo1",360775.8252,8023047.848,0,NA,20.6,1.01,29.3,10.9,2341,73,202,18.4,17,0.66,72.33923,83,1876.843
100012,"pseudo1",357175.8252,7980247.848,0,NA,23,1.02,31.7,12.3,1435,96,76,19.3,50,0.22,50.16548,19,1197.461
100013,"pseudo1",388695.8252,7924567.848,0,NA,23.9,1.03,32.3,13.1,1479,103,67,19.3,57,0.17,5.00967,31,270.1129
100014,"pseudo1",454375.8252,7865767.848,0,NA,23.8,1.04,31.5,13.3,1030,108,40,19.7,73,0.09999999,1.459142,0,53.01886
100015,"pseudo1",375415.8252,7937047.848,0,NA,20.9,1.09,30,10.6,1263,94,75,19.5,47,0.23,4.01489,100,91.96738
100016,"pseudo1",315655.8252,8218087.848,0,NA,23.1,0.85,29.9,15.2,2468,89,140,18.5,40,0.29,13.75914,47,319.975
100017,"pseudo1",480935.8252,7884087.848,0,NA,22.5,0.9899999,29.8,13.6,1405,106,65,19.3,55,0.17,22.21324,59,790.632
