"siteid","spid","x","y","occ","group","alt","asp2","ontprec","ontprec4","ontprecsd","ontslp","onttemp","onttempsd","onttmin4","ontveg","watdist"
10000,"pseudo1",-78.2834931794,46.0424855161,0,NA,336,0.5764344,931,61,20,0.6824448,21,11460,-28,2,528192.5
10001,"pseudo1",-80.2918266174,43.7258187286,0,NA,420,-0.9977852,947,69,12,0.4234423,48,9829,-3,4,782696.9
10002,"pseudo1",-92.8168272707,50.6258190884,0,NA,418,-0.9438584,709,39,43,0.4457429,-8,13393,-46,2,694526.7
10003,"pseudo1",-78.2168265092,45.9508188446,0,NA,363,0.9838699,924,61,19,2.046061,20,11432,-28,2,538592.1
10004,"pseudo1",-94.5251606931,49.1758190128,0,NA,337,-0.13791,629,38,51,0.1556629,9,13421,-24,3,875979.2
10005,"pseudo1",-76.4834930855,44.5841521067,0,NA,159,-0.9565094,915,69,11,1.223222,50,10621,2,3,717538.3
10006,"pseudo1",-78.7751598717,44.9424854587,0,NA,359,0.3162276,1006,66,11,0.2278328,36,10616,-13,2,646059.2
10007,"pseudo1",-93.0001606136,50.78415243,0,NA,391,0.9273504,691,37,43,0.1663644,-9,13432,-47,2,685450.7
10008,"pseudo1",-85.0251601976,48.3091523009,0,NA,421,-0.9977852,931,55,19,0.09281959,-5,11443,-55,2,419805
10009,"pseudo1",-78.5584931937,46.2258188589,0,NA,306,0.9642731,957,62,21,0.6580259,21,11468,-28,2,505300.8
10010,"pseudo1",-84.150160152,50.1591523974,0,NA,117,0.6139404,839,52,19,0.226648,-11,13164,-63,2,243316
10011,"pseudo1",-81.0001599877,49.3758190232,0,NA,250,-0.7071068,916,47,23,0.4505487,-11,12829,-66,2,182899.2
10012,"pseudo1",-81.7251600255,47.4841522579,0,NA,393,0.889567,855,52,21,0.1717786,4,11852,-47,2,397732.3
10013,"pseudo1",-79.8668265953,44.9591521262,0,NA,183,-0.9845108,1086,66,17,0.02075511,49,10208,-2,2,643816.7
10014,"pseudo1",-79.5334932446,48.1758189606,0,NA,318,-0.2316203,878,48,26,0.2937024,-1,12549,-49,2,285656
10015,"pseudo1",-85.7001602328,54.2924859463,0,NA,106,-0.5010362,555,29,50,0.126674,-49,14193,-105,2,81339.67
10016,"pseudo1",-81.9668267048,45.8424855056,0,NA,261,0.6213948,883,63,15,0.5766589,34,10149,-14,2,578080.9
10017,"pseudo1",-83.2084934362,50.3341524065,0,NA,171,0.9125093,859,50,21,0.02320492,-13,13294,-65,2,174271.7
10018,"pseudo1",-84.3584934962,52.5591525226,0,NA,134,0.7071068,670,37,42,0.09567624,-36,13946,-90,3,146219.9
10019,"pseudo1",-75.7418263801,44.8758187885,0,NA,114,0.8944271,921,69,12,0.1870834,49,10984,4,4,705337.4
10020,"pseudo1",-83.0334934271,49.7841523779,0,NA,239,0.7071068,885,51,19,0.2729888,-12,13079,-64,2,200426.3
10021,"pseudo1",-82.3084933893,46.7008188837,0,NA,469,-0.9759161,924,65,17,1.167717,12,11116,-39,2,491184.7
10022,"pseudo1",-85.2251602081,49.7758190441,0,NA,220,-0.9749646,850,52,22,0.7902809,-12,12870,-64,2,331379.5
10023,"pseudo1",-94.3334940164,50.9591524391,0,NA,406,0.9397934,623,34,45,0.02935215,-11,13830,-45,3,675610.3
10024,"pseudo1",-80.9834933202,49.9758190545,0,NA,238,0.8269265,887,46,26,0.1183222,-16,12965,-70,2,116852.9
10025,"pseudo1",-81.3918266748,48.3758189711,0,NA,304,0.8235076,867,48,23,0.5767522,-3,12441,-55,2,296360.3
10026,"pseudo1",-94.7251607035,51.142485782,0,NA,363,0.4740998,604,32,45,0.1611025,-10,13932,-44,2,659719.3
10027,"pseudo1",-82.5501600686,54.7591526373,0,NA,20,-0.1104316,463,16,59,0.02320492,-56,13609,-117,3,19703.19
10028,"pseudo1",-77.5751598091,45.3674854808,0,NA,354,-0.6595899,858,61,14,1.957821,31,11076,-17,2,611648.1
10029,"pseudo1",-80.3668266213,50.2841524039,0,NA,263,-0.9486833,855,44,29,0.0886658,-24,12986,-78,2,88116.5
