siteid,spid,x,y,occ,group,cti,disturb,mi,rainann,raindq,rugged,soildepth,soilfert,solrad,tempann,tempmin,topo,vegsys
100001,pseudo1,150.9785488,-32.14875762,0,NA,1499,4,42,586,108,17,980,3,92,173,42,-8,9
100002,pseudo1,151.4345051,-32.58133153,0,NA,1349,2,78,912,156,74,870,2,74,167,46,-12,3
100003,pseudo1,152.2546868,-30.74671456,0,NA,1329,3,81,1116,162,33,1059,2,90,182,61,-17,3
100004,pseudo1,151.1629099,-32.16224746,0,NA,1359,4,69,916,192,32,1019,2,84,164,37,-18,7
100005,pseudo1,151.205178,-31.41041423,0,NA,1909,4,58,826,186,14,990,1,90,141,-7,-9,9
100006,pseudo1,152.5020004,-32.41225898,0,NA,1549,1,81,1338,282,10,1279,1,87,168,53,6,5
100007,pseudo1,151.0585885,-32.34660848,0,NA,1509,4,48,642,120,21,930,2,89,171,38,-16,9
100008,pseudo1,151.5226387,-30.65408438,0,NA,1449,4,64,804,168,15,1029,2,91,125,-7,-1,9
100009,pseudo1,152.2780692,-31.72607626,0,NA,1409,4,92,1386,192,44,1049,2,81,172,52,-11,2
100010,pseudo1,151.2096746,-32.11908,0,NA,1179,4,68,954,204,47,980,2,86,149,10,2,9
100011,pseudo1,151.7807441,-30.97963897,0,NA,1279,3,67,778,144,11,1029,2,90,119,-4,0,9
100012,pseudo1,151.1683058,-31.3276766,0,NA,1349,4,55,794,168,44,939,2,85,150,0,-12,9
100013,pseudo1,151.9399241,-31.89335016,0,NA,1409,3,83,1054,138,66,1000,2,79,169,57,5,2
100014,pseudo1,151.3256872,-32.34301119,0,NA,1279,4,68,952,168,33,939,2,86,167,47,1,9
100015,pseudo1,152.0937082,-31.76294847,0,NA,1329,3,83,1110,144,69,1049,2,87,174,61,-15,2
100016,pseudo1,152.7097438,-28.84554775,0,NA,1389,3,78,1166,138,22,1080,2,88,181,44,-15,2
100017,pseudo1,151.0945614,-32.17843525,0,NA,1239,4,59,786,168,21,970,3,87,161,31,9,9
100018,pseudo1,152.6144157,-30.89869998,0,NA,1469,4,79,1068,144,19,1070,2,87,182,60,-5,9
100019,pseudo1,152.7088445,-29.65583691,0,NA,1259,3,68,1072,126,22,1090,2,91,185,58,7,3
100020,pseudo1,152.0127692,-32.35919898,0,NA,1289,3,84,1348,228,44,1090,2,84,168,57,-13,2
100021,pseudo1,152.5649529,-31.14781219,0,NA,1189,3,92,1534,198,39,1090,2,87,175,68,10,3
100022,pseudo1,151.2528421,-32.03004711,0,NA,1159,4,82,1138,246,85,790,5,86,123,-20,31,9
100023,pseudo1,151.4794712,-31.15140948,0,NA,1289,3,70,874,198,19,1039,2,90,119,-6,-2,7
100024,pseudo1,151.6728255,-30.54616574,0,NA,1399,4,66,802,156,9,990,2,90,127,-9,1,9
100025,pseudo1,151.9974807,-31.06417524,0,NA,1069,1,70,808,108,116,879,2,79,137,-14,31,1
100026,pseudo1,150.9785488,-31.70898914,0,NA,1169,4,62,834,198,36,1029,5,88,137,-10,1,9
100027,pseudo1,152.5002018,-30.42655591,0,NA,1139,1,90,1586,216,105,1019,2,69,155,18,-30,2
100028,pseudo1,152.3005523,-28.67107927,0,NA,1079,3,80,1104,162,35,1019,2,87,158,33,45,1
