"siteid","spid","x","y","occ","group","age","deficit","dem","hillshade","mas","mat","r2pet","rain","slope","sseas","toxicats","tseas","vpd"
100001,"pseudo1",2274850,5512250,0,NA,2,0,1026,180,1272,56,31,1004,5,8,1,63,27
100002,"pseudo1",2140650,5430150,0,NA,2,32,41,179,1247,99,29,951,0,-17,1,0,35
100003,"pseudo1",2404850,5917450,0,NA,2,0,758,25,1333,82,98,3344,27,47,1,-4,13
100004,"pseudo1",2094850,5509550,0,NA,2,2,242,181,1260,92,36,1157,2,-21,1,32,30
100005,"pseudo1",2348350,5698850,0,NA,2,38,645,211,1336,87,22,897,15,16,1,-156,36
100006,"pseudo1",2148350,5460450,0,NA,1,59,102,181,1270,100,25,873,0,-20,1,-50,39
100007,"pseudo1",2256250,5473550,0,NA,2,45,242,170,1249,93,22,795,4,11,1,-18,37
100008,"pseudo1",2466150,5941050,0,NA,2,0,758,176,1422,83,56,2061,23,-6,1,-124,25
100009,"pseudo1",2230750,5605050,0,NA,2,161,524,165,1392,91,18,700,11,-64,1,-237,44
100010,"pseudo1",2108050,5518050,0,NA,1,27,337,179,1271,90,31,1040,0,-22,1,12,30
100011,"pseudo1",2504650,5840350,0,NA,2,190,186,176,1444,111,17,756,1,-53,1,-253,57
100012,"pseudo1",2499350,5720450,0,NA,2,5,575,119,1367,96,38,1397,22,-19,1,180,35
100013,"pseudo1",2187050,5565250,0,NA,2,33,908,214,1390,68,30,1013,24,-73,1,-99,36
100014,"pseudo1",2030250,5474150,0,NA,2,0,450,241,1189,77,133,3777,39,19,1,217,10
100015,"pseudo1",2098150,5595350,0,NA,2,0,81,121,1248,100,148,5597,16,32,1,49,16
100016,"pseudo1",2741350,6364450,0,NA,2,23,203,178,1478,129,27,1374,2,13,1,-39,32
100017,"pseudo1",2233750,5506450,0,NA,2,97,460,182,1295,84,17,648,4,-13,1,-105,37
100018,"pseudo1",2556350,5870350,0,NA,2,68,190,199,1467,116,23,1149,15,-60,1,44,60
100019,"pseudo1",2744150,6220450,0,NA,1,0,1085,182,1420,75,70,2828,7,14,1,97,24
100020,"pseudo1",2009550,5470850,0,NA,2,0,173,242,1196,89,118,3516,21,11,1,183,16
100021,"pseudo1",2378150,5778250,0,NA,2,0,587,180,1387,92,36,1609,2,-13,1,-107,45
100022,"pseudo1",2244750,5536050,0,NA,2,171,735,170,1333,69,14,522,5,-41,1,-280,37
100023,"pseudo1",2300250,5777050,0,NA,0,0,34,182,1285,113,96,3687,0,50,0,-154,26
100024,"pseudo1",2485850,5970150,0,NA,2,7,333,131,1504,105,35,1545,13,-58,1,-161,40
100025,"pseudo1",2501550,5809350,0,NA,2,224,159,177,1428,113,15,692,0,-45,1,-204,55
100026,"pseudo1",2352950,5609950,0,NA,2,142,111,176,1286,107,14,613,2,34,1,-122,41
100027,"pseudo1",2671750,5994950,0,NA,2,9,294,99,1419,112,38,1501,18,-25,1,175,32
100028,"pseudo1",2680950,6434850,0,NA,1,45,17,180,1480,144,25,1358,0,18,1,45,36
100029,"pseudo1",2025450,5489950,0,NA,2,0,630,229,1188,68,153,4295,39,24,1,250,6
100030,"pseudo1",2436450,5861650,0,NA,2,0,1324,126,1332,54,106,3279,16,40,1,4,13
100031,"pseudo1",2243950,5719750,0,NA,2,0,1329,213,1222,55,239,6941,21,102,1,114,0
100032,"pseudo1",2648350,6257550,0,NA,2,0,21,202,1449,137,40,1992,11,-3,1,47,31
100033,"pseudo1",2924850,6338250,0,NA,2,0,817,151,1475,100,56,2774,25,41,1,129,25
100034,"pseudo1",2834550,6168350,0,NA,1,197,19,179,1474,135,16,837,0,-15,1,-141,53
100035,"pseudo1",2813450,6170150,0,NA,2,154,139,183,1482,128,17,917,3,-19,1,-109,53
100036,"pseudo1",2363150,5630650,0,NA,2,157,42,179,1305,110,13,580,0,24,1,-63,41
100037,"pseudo1",2305950,5700050,0,NA,2,159,790,164,1455,83,18,779,5,-75,1,-134,49
100038,"pseudo1",2391350,5770750,0,NA,1,49,589,194,1391,93,26,1134,6,-20,1,-118,48
100039,"pseudo1",2084950,5598950,0,NA,2,0,535,227,1223,80,183,6218,28,50,1,136,4
100040,"pseudo1",2189850,5410250,0,NA,2,6,58,182,1223,99,34,1081,1,-3,1,99,30
100041,"pseudo1",2699650,6324350,0,NA,2,16,41,172,1438,136,32,1525,2,18,1,-122,35
100042,"pseudo1",2721450,6080850,0,NA,2,84,9,180,1418,129,22,981,0,-13,1,10,37
100043,"pseudo1",2775750,6181850,0,NA,2,33,838,229,1436,91,26,1135,21,0,1,82,35
100044,"pseudo1",2706450,6439150,0,NA,2,49,72,171,1483,139,25,1351,6,20,1,-62,37
100045,"pseudo1",2569550,5950450,0,NA,2,137,410,186,1513,109,18,916,20,-70,1,-153,47
100046,"pseudo1",2731750,6357050,0,NA,2,21,264,163,1468,125,28,1399,11,13,1,-28,30
100047,"pseudo1",2803550,6068450,0,NA,2,4,365,171,1369,114,34,1469,11,29,1,165,28
100048,"pseudo1",2322050,5687350,0,NA,2,0,1030,89,1350,73,31,1253,28,8,1,-11,35
100049,"pseudo1",2383750,5716950,0,NA,2,28,323,178,1387,102,19,923,0,-27,1,-120,45
100050,"pseudo1",2568350,5946250,0,NA,2,46,760,203,1507,89,24,1138,19,-66,1,-76,40
100051,"pseudo1",2185850,5481350,0,NA,2,4,423,174,1277,88,29,1011,3,-9,1,-26,35
