"siteid","spid","x","y","occ","group","sabio1","sabio2","sabio4","sabio5","sabio6","sabio7","sabio8","sabio12","sabio15","sabio17","sabio18"
100001,"pseudo1",-41.6829458769,-20.1082523073,0,NA,220,128,1982,305,111,194,234,1431,64,68,464
100002,"pseudo1",-51.5412792102,-27.624918974,0,NA,172,110,3171,266,68,198,155,1956,15,388,455
100003,"pseudo1",-63.7162792102,-9.35825230729,0,NA,258,104,561,327,185,142,257,2585,55,91,317
100004,"pseudo1",-65.7496125435,-20.2415856406,0,NA,138,163,2781,245,-13,258,162,309,96,0,138
100005,"pseudo1",-40.6579458769,-13.999918974,0,NA,235,94,1407,298,163,135,245,624,68,23,208
100006,"pseudo1",-49.7412792102,-23.0665856406,0,NA,214,127,2546,303,103,200,240,1539,45,151,567
100007,"pseudo1",-47.3412792102,-22.0832523073,0,NA,208,118,2279,284,100,184,230,1506,65,71,590
100008,"pseudo1",-71.5829458769,-8.89158564062,0,NA,253,104,504,314,180,134,254,2098,47,130,605
100009,"pseudo1",-68.4996125435,-16.5665856406,0,NA,84,154,2131,185,-48,233,102,724,75,19,281
100010,"pseudo1",-47.3996125435,-19.8332523073,0,NA,204,109,1577,269,111,158,216,1901,68,46,702
100011,"pseudo1",-59.7162792102,-10.7915856406,0,NA,235,127,525,325,133,192,236,2182,66,30,220
100012,"pseudo1",-72.7996125435,-13.3582523073,0,NA,50,142,700,146,-32,178,45,1405,63,60,369
100013,"pseudo1",-42.8412792102,-17.924918974,0,NA,207,115,1815,286,112,174,220,1341,75,28,439
100014,"pseudo1",-62.5829458769,-22.049918974,0,NA,235,126,3864,343,100,243,274,669,71,10,295
100015,"pseudo1",-56.2996125435,-16.874918974,0,NA,267,119,1731,358,163,195,277,1438,62,44,291
100016,"pseudo1",-57.9329458769,0.558414359381,0,NA,267,99,591,337,213,124,262,2473,51,257,257
100017,"pseudo1",-56.4246125435,-20.3915856406,0,NA,248,115,2491,330,144,186,271,1571,49,120,577
100018,"pseudo1",-47.1662792102,-10.249918974,0,NA,259,125,609,348,169,179,256,1710,69,8,159
100019,"pseudo1",-40.1579458769,-4.18325230729,0,NA,266,107,692,336,202,134,261,746,104,1,21
100020,"pseudo1",-44.0829458769,-22.2415856406,0,NA,206,115,2200,287,104,183,228,1694,67,56,669
100021,"pseudo1",-67.9496125435,-11.9915856406,0,NA,257,112,1079,334,171,163,264,1855,52,117,396
100022,"pseudo1",-49.3162792102,-19.0582523073,0,NA,235,130,1564,315,130,185,246,1583,70,27,625
100023,"pseudo1",-76.3662792102,-12.0165856406,0,NA,12,116,1673,88,-73,161,31,412,94,2,244
100024,"pseudo1",-57.6829458769,-8.37491897395,0,NA,263,120,485,354,164,190,262,2790,58,81,530
100025,"pseudo1",-53.6579458769,-11.374918974,0,NA,249,151,732,362,134,228,249,2746,68,24,610
100026,"pseudo1",-63.4579458769,-16.4165856406,0,NA,251,102,1996,321,158,163,268,1826,49,174,636
100027,"pseudo1",-68.9329458769,-7.84991897395,0,NA,250,120,576,315,170,145,252,2783,47,215,706
100028,"pseudo1",-61.1329458769,2.03341435938,0,NA,272,100,614,333,211,122,263,1752,72,127,166
100029,"pseudo1",-43.5662792102,-21.199918974,0,NA,197,109,2032,274,103,171,212,1752,68,58,641
100030,"pseudo1",-49.5829458769,-10.4082523073,0,NA,271,120,560,344,186,158,272,2343,67,27,464
100031,"pseudo1",-61.6746125435,-13.374918974,0,NA,240,134,743,327,142,185,244,2292,69,42,480
100032,"pseudo1",-62.7246125435,-3.11658564062,0,NA,265,88,403,322,216,106,261,2944,28,400,449
100033,"pseudo1",-54.3412792102,-0.374918973953,0,NA,257,93,782,325,208,117,251,2129,46,160,245
100034,"pseudo1",-73.1579458769,-5.36658564062,0,NA,264,101,408,324,201,123,265,2719,24,385,646
100035,"pseudo1",-74.2996125435,-5.33325230729,0,NA,272,106,425,334,207,127,272,2535,19,393,571
100036,"pseudo1",-62.4579458769,-15.8165856406,0,NA,240,125,1706,320,140,180,253,1257,56,81,360
100037,"pseudo1",-69.5329458769,-13.974918974,0,NA,198,118,1383,271,108,163,208,2108,53,141,567
100038,"pseudo1",-63.5412792102,-12.1415856406,0,NA,254,124,566,341,172,169,255,1806,59,48,218
100039,"pseudo1",-62.8746125435,-16.7582523073,0,NA,249,111,1908,322,158,164,265,1275,51,117,447
100040,"pseudo1",-53.3412792102,-29.4665856406,0,NA,193,104,3493,295,94,201,228,1739,10,347,434
100041,"pseudo1",-62.9829458769,-0.899918973953,0,NA,269,98,287,324,215,109,266,2485,42,247,247
100042,"pseudo1",-76.0329458769,-6.54158564062,0,NA,245,135,460,320,163,157,244,1934,23,291,464
100043,"pseudo1",-74.0579458769,-5.10825230729,0,NA,272,104,412,334,208,126,272,2704,17,437,605
100044,"pseudo1",-71.9496125435,2.11674769271,0,NA,274,91,999,344,215,129,267,2601,52,220,220
100045,"pseudo1",-57.9662792102,-8.72491897395,0,NA,251,121,515,342,151,191,250,2661,59,77,482
100046,"pseudo1",-65.7662792102,0.316747692714,0,NA,267,95,349,319,214,105,261,3027,18,566,627
100047,"pseudo1",-78.3912792102,-6.67491897395,0,NA,105,144,647,184,10,174,108,1051,40,82,296
100048,"pseudo1",-75.7996125435,-14.299918974,0,NA,179,115,2720,276,82,194,213,0,0,0,0
100049,"pseudo1",-71.9246125435,-13.4665856406,0,NA,95,141,1022,178,-7,185,100,710,76,13,188
100050,"pseudo1",-73.0329458769,-8.79991897395,0,NA,251,99,496,312,181,131,252,1925,44,141,536
100051,"pseudo1",-49.3329458769,-21.6665856406,0,NA,219,126,2350,300,107,193,242,1423,61,87,599
100052,"pseudo1",-71.6746125435,3.43341435938,0,NA,268,91,981,343,215,128,258,2182,61,120,132
100053,"pseudo1",-66.8246125435,-7.09991897395,0,NA,257,105,375,319,190,129,259,2829,45,197,579
100054,"pseudo1",-69.9412792102,-0.0415856406195,0,NA,253,86,408,302,204,98,251,3396,16,646,652
100055,"pseudo1",-59.3912792102,-9.79991897395,0,NA,251,124,557,340,149,191,250,2302,64,48,245
100056,"pseudo1",-49.6829458769,-10.5332523073,0,NA,272,120,570,345,188,157,273,2305,67,26,453
100057,"pseudo1",-59.8412792102,-12.424918974,0,NA,218,129,548,303,119,184,219,2272,64,43,440
100058,"pseudo1",-48.2079458769,-14.5165856406,0,NA,248,90,740,316,181,135,247,1916,72,14,216
100059,"pseudo1",-72.8996125435,-5.94991897395,0,NA,261,101,468,321,195,126,263,2714,27,343,605
100060,"pseudo1",-66.6912792102,-4.58325230729,0,NA,262,88,333,318,210,108,263,2958,31,353,590
100061,"pseudo1",-40.4829458769,-5.01658564062,0,NA,256,105,739,324,191,133,251,789,102,5,36
100062,"pseudo1",-68.6746125435,-6.43325230729,0,NA,254,107,381,315,186,129,254,2799,42,223,577
100063,"pseudo1",-74.3579458769,8.59174769271,0,NA,281,104,397,347,223,124,278,3060,64,109,302
100064,"pseudo1",-59.3412792102,-12.949918974,0,NA,224,133,777,309,116,193,227,2346,64,52,446
100065,"pseudo1",-49.2079458769,-15.6915856406,0,NA,240,91,820,305,170,135,241,1836,68,18,218
100066,"pseudo1",-76.0079458769,5.92508102605,0,NA,184,99,312,242,130,112,180,3150,30,436,599
100067,"pseudo1",-50.5579458769,-17.9665856406,0,NA,243,120,1218,315,147,168,248,1844,67,40,448
100068,"pseudo1",-43.9079458769,-6.95825230729,0,NA,271,107,985,348,200,148,268,1234,69,15,199
100069,"pseudo1",-67.2246125435,-7.49991897395,0,NA,255,109,436,318,183,135,257,2741,46,178,573
100070,"pseudo1",-57.1329458769,-9.72491897395,0,NA,254,132,611,351,153,198,253,2564,62,48,317
100071,"pseudo1",-57.6496125435,-6.28325230729,0,NA,266,103,371,341,188,153,263,2376,52,116,280
100072,"pseudo1",-80.0912792102,-1.51658564062,0,NA,250,107,795,312,182,130,258,1327,93,12,709
100073,"pseudo1",-41.9829458769,-4.88325230729,0,NA,266,118,957,352,188,164,258,1479,85,23,62
100074,"pseudo1",-68.4412792102,-7.30825230729,0,NA,251,114,480,315,177,138,253,2863,47,245,518
100075,"pseudo1",-62.7496125435,-18.6082523073,0,NA,248,130,2440,340,141,199,271,735,56,46,299
100076,"pseudo1",-53.9996125435,-4.92491897395,0,NA,250,102,459,312,186,126,244,1977,57,103,275
100077,"pseudo1",-77.3412792102,-6.72491897395,0,NA,195,130,485,265,113,152,195,1193,35,127,331
100078,"pseudo1",-66.7329458769,-8.92491897395,0,NA,259,109,548,323,186,137,262,2168,51,100,471
100079,"pseudo1",-39.4412792102,-3.73325230729,0,NA,261,91,574,318,203,115,260,896,100,5,84
100080,"pseudo1",-50.4246125435,-19.9582523073,0,NA,231,129,1914,307,119,188,247,1482,64,67,624
