"siteid","spid","x","y","occ","group","bcc","calc","ccc","ddeg","nutri","pday","precyy","sfroyy","slope","sradyy","swb","tavecc","topo"
100001,"pseudo1",1634487.5,22487.5,0,NA,0,0,0,701,2,38,1671,4,269,16057,6,-7,177
100002,"pseudo1",1612987.5,-3512.5,0,NA,0,0,0,731,0.4375,39,1515,3,147,20381,0,-7,53
100003,"pseudo1",1762887.5,79887.5,0,NA,4,0,2,3062,17.0625,36,971,0,36,17243,-123,0,-50
100004,"pseudo1",1700087.5,21787.5,0,NA,35,0,64,1946,2.8125,32,2046,0,384,15940,8,-2,-93
100005,"pseudo1",1557387.5,56087.5,0,NA,27,0,17,2667,17.4375,33,1378,0,36,17418,-5,0,24
100006,"pseudo1",1579987.5,7887.5,0,NA,19,0,25,3123,1.9375,34,1093,0,501,6892,0,0,304
100007,"pseudo1",1734387.5,11887.5,0,NA,48,0,52,3220,3,32,1749,0,385,7804,9,0,-196
100008,"pseudo1",1829887.5,82587.5,0,NA,0,1,81,1357,7,35,829,1,463,14762,-14,-6,215
100009,"pseudo1",1668187.5,42887.5,0,NA,19,0,25,1472,7,36,1697,1,290,21708,5,-4,8
100010,"pseudo1",1634587.5,24087.5,0,NA,0,0,0,1163,2,35,1441,1,90,15862,-16,-5,99
100011,"pseudo1",1698687.5,71987.5,0,NA,4,0,96,1626,6,43,1520,0,352,15010,20,-3,148
100012,"pseudo1",1648487.5,59287.5,0,NA,31,0,12,1968,7,44,1379,0,217,15179,23,-3,-42
100013,"pseudo1",1636887.5,35287.5,0,NA,0,0,0,994,2,42,1841,2,339,15730,6,-6,147
100014,"pseudo1",1505387.5,11987.5,0,NA,0,0,0,3436,25,27,917,0,5,18254,-300,0,-15
100015,"pseudo1",1669987.5,41187.5,0,NA,2,0,98,1616,7,34,1660,1,353,9103,21,-4,12
100016,"pseudo1",1609287.5,146787.5,0,NA,54,1,39,2908,22.375,36,1222,0,154,14613,-10,0,-168
100017,"pseudo1",1600987.5,20887.5,0,NA,0,1,0,3308,7,31,867,0,281,18892,-327,0,-133
100018,"pseudo1",1670087.5,74887.5,0,NA,0,1,0,2313,17.8125,44,1566,0,140,20408,53,-1,-50
100019,"pseudo1",1599687.5,112787.5,0,NA,4,0,2,3333,17,32,1086,0,31,18430,-207,0,0
100020,"pseudo1",1580787.5,11087.5,0,NA,17,0,77,3266,2.9375,35,1115,0,455,14904,-107,0,-129
100021,"pseudo1",1671387.5,65887.5,0,NA,0,0,0,766,2.8125,45,2052,2,374,22049,7,-7,125
100022,"pseudo1",1693187.5,28787.5,0,NA,4,0,96,2163,3.25,31,1853,0,345,8921,13,-2,-151
100023,"pseudo1",1714687.5,65787.5,0,NA,0,0,0,807,2,40,1427,2,310,12647,6,-6,-126
100024,"pseudo1",1676387.5,85487.5,0,NA,0,0,0,2101,7,45,1568,0,242,11213,21,-2,262
100025,"pseudo1",1791887.5,68987.5,0,NA,0,1,0,509,0,39,1209,5,410,23010,0,-9,246
100026,"pseudo1",1611187.5,43687.5,0,NA,0,0,0,2408,0,40,1266,0,31,17421,-40,-1,-79
100027,"pseudo1",1800087.5,88587.5,0,NA,0,0,0,764,2,43,1295,2,284,14725,7,-8,145
100028,"pseudo1",1681387.5,154487.5,0,NA,0,0,0,3266,1.0625,35,1055,0,23,17926,-219,0,-27
100029,"pseudo1",1504987.5,16487.5,0,NA,0,0,0,3478,17,27,942,0,27,18762,-337,0,-6
100030,"pseudo1",1554187.5,73987.5,0,NA,0,0,0,3048,25,30,969,0,39,18469,-197,0,-6
100031,"pseudo1",1615287.5,59187.5,0,NA,29,0,71,2216,16.6875,42,1450,0,333,17115,33,-2,-147
100032,"pseudo1",1635987.5,121387.5,0,NA,0,0,0,2985,17,36,1212,0,87,17050,-16,0,-15
100033,"pseudo1",1633787.5,141087.5,0,NA,0,0,0,2910,26,36,1210,0,60,16612,-45,0,-110
100034,"pseudo1",1786387.5,104287.5,0,NA,0,1,100,1936,12,42,1292,0,271,11936,37,-3,37
100035,"pseudo1",1681787.5,104487.5,0,NA,19,1,81,3070,7,41,1341,0,298,11748,23,0,-136
100036,"pseudo1",1743187.5,46987.5,0,NA,0,0,0,999,0,37,1707,1,138,19346,0,-5,33
100037,"pseudo1",1685187.5,56287.5,0,NA,0,0,0,948,3,41,2021,1,330,8574,9,-6,-121
100038,"pseudo1",1803087.5,65187.5,0,NA,0,0,0,736,7,37,1287,3,341,22725,23,-8,-4
100039,"pseudo1",1519887.5,41787.5,0,NA,0,0,0,3384,17,29,1064,0,53,19346,-302,1,-3
100040,"pseudo1",1724587.5,-9112.5,0,NA,85,0,8,4071,7,30,1782,0,299,21005,-9,2,19
100041,"pseudo1",1601287.5,137587.5,0,NA,41,0,58,2677,17.875,36,1363,0,269,12114,37,0,-71
100042,"pseudo1",1552687.5,96387.5,0,NA,14,1,85,2369,11.5625,37,1546,0,413,8425,37,-1,136
100043,"pseudo1",1635087.5,106087.5,0,NA,10,0,46,2707,17,38,1382,0,115,18703,24,-1,54
100044,"pseudo1",1687387.5,154887.5,0,NA,0,0,0,3230,25,35,1045,0,6,18487,-178,0,-9
100045,"pseudo1",1722087.5,83487.5,0,NA,0,0,0,890,0,44,1816,1,178,16435,0,-6,-161
100046,"pseudo1",1570387.5,145387.5,0,NA,0,1,0,2909,25,34,1150,0,38,17615,-102,0,-16
100047,"pseudo1",1620687.5,95587.5,0,NA,19,0,6,3037,17,36,1134,0,164,17179,-26,0,1
100048,"pseudo1",1742687.5,54687.5,0,NA,0,0,0,528,0,39,1656,5,214,16969,0,-8,262
100049,"pseudo1",1690487.5,58787.5,0,NA,0,0,0,1421,7,38,1736,0,184,15616,19,-4,-262
100050,"pseudo1",1757087.5,83087.5,0,NA,10,1,21,2598,12.125,38,1052,0,197,17272,-81,0,-37
